,economy,year,LandArea(count),EnergieNatualGaz(%total),RenewableConso(%totalconso),FossilfuelConso(%totalconso),PrimaryEnergy(%total),ConsoElec,PrimaryEnergy(kgoil),CO2Emission(kt),AgricultureMethane(ktco2),AgricultureMethane(٪total),EnergieMethane(ktco2),EnergieMethane,GlobalMethane(ktco2),GlobalMethane(pct_change),Population_density,AirTransport,GDP($),Population,meth_valuebylandaera,Emissions intensity,Per capita emissions,Per capita density emissions
19,ABW,1979,180.0,,,,,,,,,6.41305105257498,,8.27208385792847,,,344.477777777778,,,62006.0,,,,
20,ABW,1980,180.0,,,,,,,,,6.31702351206149,,8.35801642138251,,,345.927777777778,,,62267.0,,,,
21,ABW,1981,180.0,,,,,,,,,6.18933535805329,,8.84319788583205,,,347.855555555556,,,62614.0,,,,
22,ABW,1982,180.0,,,,,,,,,6.07430067722162,,9.0615540527265,,,350.644444444444,,,63116.0,,,,
23,ABW,1983,180.0,,,,,,,,,5.99238385349234,,8.78281301876661,,,353.794444444444,,,63683.0,,,,
24,ABW,1984,180.0,,,,,,,,,5.86655468078772,,9.2405857077657,,,356.522222222222,,,64174.0,,,,
25,ABW,1985,180.0,,,,,,,,,5.73265496772068,,9.91177530899028,,,358.211111111111,,,64478.0,,,,
26,ABW,1986,180.0,,,,,,,,,5.78249982141771,,7.86287632116079,,,358.627777777778,,405586592.178771,64553.0,,,,
27,ABW,1987,180.0,,,,,,,,,5.59873522218585,,9.62493616690045,,,358.055555555556,,487709497.206704,64450.0,,,,
28,ABW,1988,180.0,,,,,,,,,5.50322899312953,,9.98187132929531,,,357.4,,596648044.692737,64332.0,,,,
29,ABW,1989,180.0,,,,,,,,,5.37460693156412,,10.7042677660124,,,358.866666666667,,695530726.256983,64596.0,,,,
30,ABW,1990,180.0,,0.268747068990415,,,,,,,,,,,,365.066666666667,,764804469.273743,65712.0,,,,
31,ABW,1991,180.0,,0.234954767660835,,,,,,,,,,,2.03732012018345,377.022222222222,,872067039.106145,67864.0,,,,
32,ABW,1992,180.0,,0.238777584499868,,,,,,,,,,,4.75198987928944,389.955555555556,,958659217.877095,70192.0,,,,
33,ABW,1993,180.0,,0.195134319425155,,,,,,,,,,,7.96808286331769,402.0,,1083240223.46369,72360.0,,,,
34,ABW,1994,180.0,,0.183240539866902,,,,,,,,,,,11.2013072584471,415.055555555556,,1245810055.86592,74710.0,,,,
35,ABW,1995,180.0,,0.173371733273026,,,,,,,,,,,13.9660534500026,428.055555555556,,1320670391.06145,77050.0,,,,
36,ABW,1996,180.0,,0.167474284591361,,,,,,,,,,,11.7758684307627,441.205555555556,,1379888268.15642,79417.0,,,,
37,ABW,1997,180.0,,0.160095867335473,,,,,,,,,,,41.7841705761425,454.766666666667,,1531843575.41899,81858.0,,,,
38,ABW,1998,180.0,,0.15787569080815,,,,,,,,,,,14.3047282694639,468.638888888889,,1665363128.49162,84355.0,,,,
39,ABW,1999,180.0,,0.160927638084104,,,,,,,,,,,15.6673343524327,482.594444444444,,1722905027.93296,86867.0,,,,
40,ABW,2000,180.0,,0.18,,,,,,,,,,,18.9407516736071,495.005555555556,,1873184357.5419,89101.0,,,,
41,ABW,2001,180.0,,0.18,,,,,,,,,,,21.3477149333193,503.838888888889,,1896648044.69274,90691.0,,,,
42,ABW,2002,180.0,,0.18,,,,,,,,,,,24.5381108006958,509.894444444444,,1962011173.18436,91781.0,,,,
43,ABW,2003,180.0,,0.18,,,,,,,,,,,27.2916556849929,515.005555555556,,2044134078.21229,92701.0,,,,
44,ABW,2004,180.0,,0.19,,,,,,,,,,,30.4820515523694,519.666666666667,,2254748603.35196,93540.0,,,,
45,ABW,2005,180.0,,0.19,,,,,,,,,,,32.9832375731379,524.905555555556,,2359776536.31285,94483.0,,,,
46,ABW,2006,180.0,,0.19,,,,,,,,,,,36.2335933793685,531.144444444444,,2469832402.23464,95606.0,,,,
47,ABW,2007,180.0,,0.19,,,,,,,,,,,39.9939381160719,537.705555555556,,2677653631.28492,96787.0,,,,
48,ABW,2008,180.0,,0.19,,,,,,,,,,,43.2693321385272,544.422222222222,,2843016759.77654,97996.0,,,,
49,ABW,2009,180.0,,0.3,,,,,,,,,,,46.5803067840388,551.177777777778,,2553631284.9162,99212.0,,,,
50,ABW,2010,180.0,,5.46,,,,,,,,,,,49.838569395393,557.45,,2453631284.9162,100341.0,,,,
51,ABW,2011,180.0,,5.66,,,,,,,,,,,51.3369550893469,562.711111111111,,2637988826.81564,101288.0,,,,
52,ABW,2012,180.0,,6.86,,,,,,,,,,,52.8353407833008,567.288888888889,,2615083798.88268,102112.0,,,,
53,ABW,2013,180.0,,6.89,,,,,,,,,,,,571.555555555556,,2727932960.89385,102880.0,,,,
54,ABW,2014,180.0,,6.93,,,,,,,,,,,,575.522222222222,,2791061452.51397,103594.0,,,,
55,ABW,2015,180.0,,6.73,,,,,,,,,,,,579.205555555556,,2963128491.62011,104257.0,,,,
56,ABW,2016,180.0,,6.99,,,,,,,,,,,,582.633333333333,,2983798882.68156,104874.0,,,,
57,ABW,2017,180.0,,6.7,,,,,,,,,,,,585.772222222222,2132.0,3092178770.94972,105439.0,,,,
58,ABW,2018,180.0,,8.02,,,,,,,,,,,,588.677777777778,2276.0,3202234636.87151,105962.0,,,,
59,ABW,2019,180.0,,7.48,,,,,,,,,,,,591.344444444444,,3368970253.05286,106442.0,,,,
60,ABW,2020,180.0,,,,,,,,,,,,,,592.138888888889,,2610038937.56355,106585.0,,,,
61,ABW,2021,,,,,,,,,,,,,,,,,3126019399.06492,106537.0,,,,
62,AFG,1960,,,,,,,,,,,,,,,,,537777811.111111,8622466.0,,,,
63,AFG,1961,652230.0,,,,,,,,,,,,,,13.4770556398816,,548888895.555556,8790140.0,,,,
64,AFG,1962,652230.0,,,,,,,,,,,,,,13.7513561167073,,546666677.777778,8969047.0,,,,
65,AFG,1963,652230.0,,,,,,,,,,,,,,14.0402388727903,,751111191.111111,9157465.0,,,,
66,AFG,1964,652230.0,,,,,,,,,,,,,,14.3438878923079,,800000044.444444,9355514.0,,,,
67,AFG,1965,652230.0,,,,,,,,,,,,,,14.6652975177468,,1006666637.77778,9565147.0,,,,
68,AFG,1966,652230.0,,,,,,,,,,,,,,14.9995354399522,,1399999966.66667,9783147.0,,,,
69,AFG,1967,652230.0,,,,,,,,,,,,,,15.3473927908866,,1673333417.77778,10010030.0,,,,
70,AFG,1968,652230.0,,,,,,,,,,,,,,15.7119114422826,,1373333366.66667,10247780.0,,,,
71,AFG,1969,652230.0,,,,,,,,,,,,,,16.0901660457201,,1408888922.22222,10494489.0,,,,
72,AFG,1970,652230.0,,,,,,,,,77.0732332635006,,11.435282747626,,,16.4864710301581,4000.0,1748886595.55556,10752971.0,,,,
73,AFG,1971,652230.0,,,,,,,,,76.6494242566159,,11.5554502666493,,,16.8895282339052,4700.0,1831108971.11111,11015857.0,,,,
74,AFG,1972,652230.0,,,,,,,,,72.7575082886602,,13.7635195388846,,,17.3048663814912,4800.0,1595555475.55556,11286753.0,,,,
75,AFG,1973,652230.0,,,,,,,,,74.0168509610213,,12.4763229148402,,,17.7472747343728,3700.0,1733333264.44444,11575305.0,,,,
76,AFG,1974,652230.0,,,,,,,,,73.8694791828954,,13.0591584516753,,,18.1989160265551,4300.0,2155555497.77778,11869879.0,,,,
77,AFG,1975,652230.0,,,,,,,,,74.7964846218629,,12.3926226943348,,,18.6397221838922,4700.0,2366666615.55556,12157386.0,,,,
78,AFG,1976,652230.0,,,,,,,,,75.4968491826752,,11.3698054756429,,,19.050437729022,4500.0,2555555566.66667,12425267.0,,,,
79,AFG,1977,652230.0,,,,,,,,,74.420668720537,,11.983379035672,,,19.4521886451099,4900.0,2953333417.77778,12687301.0,,,,
80,AFG,1978,652230.0,,,,,,,,,74.3670065680964,,11.5715263956178,,,19.8378823421186,4800.0,3300000108.88889,12938862.0,,,,
81,AFG,1979,652230.0,,,,,,,,,74.1112359708966,,11.1790709467944,,,19.9107201447342,4900.0,3697940409.61098,12986369.0,,,,
82,AFG,1980,652230.0,,,,,,,,,71.8009675792249,,13.4302155067797,,,19.1445211045183,4200.0,3641723321.99546,12486631.0,,,,
83,AFG,1981,652230.0,,,,,,,,,71.7490533461921,,13.055030295832,,,17.1031614614476,4200.0,3478787909.09091,11155195.0,,,,
84,AFG,1982,652230.0,,,,,,,,,71.4161563334267,,13.0184032086255,,,15.4673796053539,5400.0,,10088289.0,,,,
85,AFG,1983,652230.0,,,,,,,,,69.5622839915209,,13.9460019024161,,,15.2575763151036,5700.0,,9951449.0,,,,
86,AFG,1984,652230.0,,,,,,,,,65.9417206080958,,15.8081731347606,,,15.7056345154317,6200.0,,10243686.0,,,,
87,AFG,1985,652230.0,,,,,,,,,63.8192150207339,,15.9852188419246,,,16.1173527743281,6400.0,,10512221.0,,,,
88,AFG,1986,652230.0,,,,,,,,,59.2664795116408,,17.7891430158128,,,16.0195667172623,5800.0,,10448442.0,,,,
89,AFG,1987,652230.0,,,,,,,,,63.601436630425,,13.3227095041493,,,15.8268678227006,6000.0,,10322758.0,,,,
90,AFG,1988,652230.0,,,,,,,,,63.8128921219679,,14.0993966921707,,,15.9199362188185,5900.0,,10383460.0,,,,
91,AFG,1989,652230.0,,,,,,,,,66.4751356306781,,9.84372969122155,,,16.3641169526087,5200.0,,10673168.0,,,,
92,AFG,1990,652230.0,,15.9245316828932,,,,,2380.0,5360.0,59.7547380156076,280.0,27.9821627647715,6739.99977111816,,16.3972770341751,5300.0,,10694796.0,0.01033377761083998,,0.0006302130280108344,411.0438432595056
93,AFG,1991,652230.0,,17.0364435282942,,,,,2230.0,5610.0,61.8522601984565,240.0,25.2480705622933,7019.99998092651,0.976718697149037,16.4745059258237,5300.0,,10745167.0,0.010763074346360195,,0.0006533169731960899,426.1129294276861
94,AFG,1992,652230.0,,26.5216286544368,,,,,1390.0,5670.0,63.0700778642937,200.0,22.9143492769744,7130.00011444092,-3.17335249187816,18.486474096561,5300.0,,12057433.0,0.01093172671364537,,0.0005913364904819226,385.687399187025
95,AFG,1993,652230.0,,30.5856670489932,,,,,1340.0,5720.0,64.3419572553431,160.0,20.6974128233971,7210.00003814697,-2.00181446802262,21.4705855296444,5100.0,,14003760.0,0.01105438271491187,,0.000514861725575629,335.8082632721933
96,AFG,1994,652230.0,,32.7962505504008,,,,,1290.0,5930.0,66.1830357142857,120.0,18.0803571428571,7469.99979019165,0.515891016547854,23.6964797694065,7000.0,,15455555.0,0.011453014719028027,,0.00048332135534386505,315.2366875959291
97,AFG,1995,652230.0,,35.0756402917937,,,,,1240.0,6250.0,68.3807439824945,80.0,15.3172866520788,7829.99992370605,3.3858707479961,25.1735001456541,7300.0,,16418912.0,0.012004967455814744,,0.0004768890852028472,311.04136804185356
98,AFG,1996,652230.0,,37.9457475001443,,,,,1180.0,7040.0,70.896273917422,90.0,13.4944612286002,8670.00007629395,12.901864025025,26.2278567376539,7500.0,,17106595.0,0.013292856931287967,,0.0005068220809748492,330.5645658742258
99,AFG,1997,652230.0,,41.4326008731029,,,,,1100.0,7710.0,72.7358490566038,90.0,12.1698113207547,9399.99961853027,20.7932266852658,27.2738435827852,4600.0,,17788819.0,0.014412093308388559,,0.0005284217922803233,344.6525455789955
100,AFG,1998,652230.0,,44.0943368543633,,,,,1040.0,8220.0,74.054054054054,90.0,11.0810810810811,9960.00003814697,27.172314154686,28.3536973153642,1900.0,,18493132.0,0.01527068677942899,,0.0005385783240041206,351.2769402652077
101,AFG,1999,652230.0,,52.1857743728053,,,,,810.0,8990.0,75.737152485257,90.0,9.94102780117944,10779.9997329712,35.1136271268214,29.5338254910078,3400.0,,19262847.0,0.016527911523498154,,0.0005596265044814612,365.0051950179431
102,AFG,2000,652230.0,,44.99,,,,,760.0,7710.0,72.8045325779037,90.0,10.576015108593,9560.0004196167,23.029584743785,29.963328887049,3409.0,,19542982.0,0.014657406773096453,,0.0004891781827162661,319.05668611303076
103,AFG,2001,652230.0,,45.6,,,,,730.0,6420.0,68.5897435897436,80.0,11.7521367521368,8350.00038146973,13.6205716623097,30.1866396823207,,,19688632.0,0.012802232926221931,,0.00042410261827585227,276.6124507180587
104,AFG,2002,652230.0,,37.83,,,,,1029.99997138977,8190.0,73.1903485254692,80.0,9.562109025916,10199.9998092651,30.1779856782885,32.1976235377091,,3854235264.37171,21000256.0,0.015638654783228463,2.646439334815186e-06,0.0004857083556155268,316.79356078311497
105,AFG,2003,652230.0,,36.66,,,,,1220.00002861023,8430.0,73.4320557491289,70.0,9.14634146341463,10510.0002288818,35.6996583451108,34.7195467856431,,4539500884.0479,22645130.0,0.016113947884767336,2.3152325547098407e-06,0.0004641174605260292,302.7113312788921
106,AFG,2004,652230.0,,44.24,,,,,1029.99997138977,8340.0,72.7748691099476,60.0,8.90052356020942,10500.0,37.9389006736081,36.112339205495,,5220823684.66085,23553551.0,0.01609861551906536,2.0111769012329886e-06,0.00044579265351538713,290.7593424023409
107,AFG,2005,652230.0,,33.88,,,,,1549.99995231628,8500.0,72.8363324764353,60.0,8.56898029134533,10729.9995422363,40.263360069642,37.4272741210923,,6226199249.32211,24411191.0,0.01645125115716281,1.7233626989056848e-06,0.0004395524799357926,286.68931398852163
108,AFG,2006,652230.0,,31.89,,,,,1759.99999046326,8650.0,58.0926796507723,280.0,26.8636668905306,11180.0003051758,42.5078465253724,39.0091593456296,,6971379033.26327,25442944.0,0.01714119299200558,1.603699964071885e-06,0.00043941457030978015,286.599365193148
109,AFG,2007,652230.0,,28.78,,,,,1769.99998092651,8800.0,48.6187845303867,500.0,38.6740331491713,11609.9996566772,44.8650817166126,39.7149793784401,,9715761649.79443,25903301.0,0.017800468633269246,1.1949654669557328e-06,0.0004482054104485448,292.3330148568545
110,AFG,2008,652230.0,,21.17,,,,,3559.99994277954,9800.0,44.2038791159224,730.0,45.0608930987821,12899.9996185303,47.1554542856319,40.5182205663646,,10249767311.213,26427199.0,0.019778298481410394,1.2585651192703673e-06,0.0004881334423118508,318.37527507905867
111,AFG,2009,652230.0,,16.53,,,,,4880.00011444092,9990.0,,950.0,,13390.0003433228,50.7332600903563,41.9871931680542,,12154835707.8987,27385307.0,0.020529568316886373,1.1016191962694682e-06,0.0004889483380019366,318.9067744950032
112,AFG,2010,652230.0,,15.15,,,,,7110.0001335144,11510.0,,1170.0,,15199.9998092651,76.9014549831008,43.2204467749107,21677.0,15633856787.0425,28189672.0,0.023304662173259588,9.722488837087861e-07,0.0005392045643264349,351.6853929906306
113,AFG,2011,652230.0,,12.61,,,,,8930.00030517578,11530.0,,1380.0,,15500.0,78.6704695329318,44.8448507428361,25021.0,18190410820.6235,29249157.0,0.023764622909096485,8.520973029606769e-07,0.0005299298027632044,345.6361152562449
114,AFG,2012,652230.0,,15.36,,,,,8079.99992370605,11380.0,,1580.0,,15630.0001144409,80.4394840827628,46.7112506324456,17775.0,20203572959.5023,30466479.0,0.02396393927669825,7.73625543648688e-07,0.0005130228574966244,334.6088983450234
115,AFG,2013,652230.0,,16.86,,,,,5989.99977111816,11280.0,,1780.0,,15819.9996948242,,48.3590282569032,21696.0,20564485419.1684,31541209.0,0.02425524691416249,7.692874084793871e-07,0.0005015660526780758,327.13642653822166
116,AFG,2014,652230.0,,18.93,,,,,4880.00011444092,11480.0,,1980.0,,16299.9992370605,,50.160541526762,25920.0,20550582746.8448,32716210.0,0.024991182921761494,7.93164818626036e-07,0.0004982239457767419,324.9566041539645
117,AFG,2015,652230.0,,17.53,,,,,5949.99980926514,10850.0,,2180.0,,15960.000038147,,51.7509145546816,23532.0,19998156214.3988,33753499.0,0.024469895647466385,7.98073575735732e-07,0.0004728398687835889,308.4003476167204
118,AFG,2016,652230.0,,19.92,,,,,5300.00019073486,10630.0,,2190.0,,15829.9999237061,,53.1042837649295,22770.0,18019558181.9602,34636207.0,0.024270579279864618,8.784899032404624e-07,0.0004570361853913767,298.09271119781795
119,AFG,2017,652230.0,,19.21,,,,,4780.00020980835,10330.0,,2210.0,,15609.9996566772,,54.6485411587937,24207.0,18896352021.94,35643418.0,0.023933274545294144,8.26085354387603e-07,0.00043794901085740995,285.64348335152835
120,AFG,2018,652230.0,,17.96,,,,,6070.00017166138,10540.0,,2220.0,,15909.9998474121,,56.2482314520951,10454.0,18418848299.5825,36686784.0,0.024393235281131045,8.637890702304515e-07,0.0004336711510993196,282.85333488150934
121,AFG,2019,652230.0,,18.51,,,,,6079.99992370605,10920.0,,2230.0,,16370.0008392334,,57.9082516903546,7334.0,18904490262.913,37769499.0,0.02509850948167579,8.65931882402998e-07,0.00043341853274869756,282.68856961468316
122,AFG,2020,652230.0,,,,,,,,,,,,,,59.7522806371985,4635.714,20143442150.971,38972230.0,,,,
123,AFG,2021,,,,,,,,,,,,,,,,,14786861638.4535,40099462.0,,,,
124,AGO,1960,,,,,,,,,,,,,,,,,,5357195.0,,,,
125,AGO,1961,1246700.0,,,,,,,,,,,,,,4.3645889147349,,,5441333.0,,,,
126,AGO,1962,1246700.0,,,,,,,,,,,,,,4.42881206384856,,,5521400.0,,,,
127,AGO,1963,1246700.0,,,,,,,,,,,,,,4.4917197401139,,,5599827.0,,,,
128,AGO,1964,1246700.0,,,,,,,,,,,,,,4.55057271195957,,,5673199.0,,,,
129,AGO,1965,1246700.0,,,,,,,,,,,,,,4.60141333119435,,,5736582.0,,,,
130,AGO,1966,1246700.0,,,,,,,,,,,,,,4.64188978904307,,,5787044.0,,,,
131,AGO,1967,1246700.0,,,,,,,,,,,,,,4.67434266463464,,,5827503.0,,,,
132,AGO,1968,1246700.0,,,,,,,,,,,,,,4.70698885056549,,,5868203.0,,,,
133,AGO,1969,1246700.0,,,,,,,,,,,,,,4.75526269351087,,,5928386.0,,,,
134,AGO,1970,1246700.0,,,,,,,,,71.906798500854,,23.8139596724287,,,4.83652843506858,,,6029700.0,,,,
135,AGO,1971,1246700.0,0.0,,15.834196369121,82.8146375717133,90.0106183389512,623.396058538632,,,55.1977240182547,,37.9533679631312,,,4.95471965990214,,,6177049.0,,,,
136,AGO,1972,1246700.0,0.0,,21.2608056842657,77.3285485231518,98.6687418525622,651.342374092479,,,57.0961835904937,,36.5690392165646,,,5.10526269351087,,,6364731.0,,,,
137,AGO,1973,1246700.0,0.0,,20.1069410228998,78.1983049797031,112.188233004927,627.933045819316,,,58.7090271209165,,35.3856333560195,,,5.27651399695195,,,6578230.0,,,,
138,AGO,1974,1246700.0,0.0,,20.9261042279001,77.3253023982612,135.538524547026,620.338511140179,,,53.7268219160397,,39.7351351568351,,,5.45640009625411,,,6802494.0,,,,
139,AGO,1975,1246700.0,0.0,,17.82626378517,80.1911905950961,139.206590685558,585.963624564233,,,59.8746709583535,,34.383223812789,,,5.64106280580733,,,7032713.0,,,,
140,AGO,1976,1246700.0,0.0,,16.8222447142506,82.2739489764899,60.4119018327237,560.434470288078,,,57.2033890612318,,36.266885439605,,,5.82881206384856,2600.0,,7266780.0,,,,
141,AGO,1977,1246700.0,0.0,,14.22482628079,84.8584344101019,58.440646468035,534.498951329858,,,59.4195148890825,,34.935185010243,,,6.02542311702896,4800.0,,7511895.0,,,,
142,AGO,1978,1246700.0,0.0,,20.3840290081998,78.5879557831431,56.4877972203886,568.34676044413,,,60.5895171473604,,33.9964852207306,,,6.23372904467795,5000.0,,7771590.0,,,,
143,AGO,1979,1246700.0,0.0,,19.9556566271436,78.9785214439442,58.6829798719866,556.771431533996,,,68.3027292638786,,27.3516075079701,,,6.45160664153365,11900.0,,8043218.0,,,,
144,AGO,1980,1246700.0,0.0,,19.9630642352265,78.9155384208437,60.7439549860883,547.782863650109,,,62.7478074118367,,32.106963174244,,,6.68167722788161,12800.0,5930503400.96263,8330047.0,,,,
145,AGO,1981,1246700.0,0.0,,19.1593948140793,79.7265590386764,58.6227794449998,532.142719357809,,,58.7589681289732,,35.3443800442815,,,6.92344349081575,15000.0,5550483035.96497,8631457.0,,,,
146,AGO,1982,1246700.0,0.0,,16.6165495845697,82.1857168964607,60.3544010429241,506.387283908891,,,62.4623654109018,,32.0967885017251,,,7.17666800352932,13900.0,5550483035.96497,8947152.0,,,,
147,AGO,1983,1246700.0,0.0,,17.6234054770716,81.3091483665978,63.2767640500018,501.980066849152,,,61.4839820862406,,32.9781718051005,,,7.44100986604636,22400.0,5784341596.36339,9276707.0,,,,
148,AGO,1984,1246700.0,0.0,,17.0652488118416,81.8361829296287,52.1954204860995,489.177144394784,,,52.2164853478715,,40.8971203107644,,,7.71452795379803,10700.0,6131475065.17815,9617702.0,,,,
149,AGO,1985,1246700.0,0.0,,20.307574107072,78.4843409458356,60.5779720240093,500.491594254761,,,52.5628416212208,,40.5671274082574,,,7.99761049169808,13100.0,7553560459.2246,9970621.0,,,,
150,AGO,1986,1246700.0,0.0,,19.8912888219892,78.9143819733672,58.4559084696611,488.521737177977,,,50.8305550375919,,42.0623078146254,,,8.28793935991016,11100.0,7072063345.58823,10332574.0,,,,
151,AGO,1987,1246700.0,0.0,,20.3842360205843,78.449596418125,56.7604979101944,483.407092369154,,,60.786123079853,,33.7110875483516,,,8.57789123285474,11100.0,8083872012.36631,10694057.0,,,,
152,AGO,1988,1246700.0,0.0,,22.0179649033579,76.8613896226947,55.2428193150234,486.37993262546,,,47.3252027409358,,45.3550804657935,,,8.87162990294377,11000.0,8769250549.79947,11060261.0,,,,
153,AGO,1989,1246700.0,0.0,,22.1032510621213,76.7864403426428,53.6736839326341,480.735430872928,,,51.4056086567943,,41.746805747578,,,9.17582257158899,6800.0,10201099039.4385,11439498.0,,,,
154,AGO,1990,1246700.0,0.0,72.2552519216681,25.4803884173733,54.2455274005993,53.2605698137013,497.365461687136,6560.0,15040.0,72.9742843279961,5750.0,24.9393498301795,21219.9993133545,,9.48795861073233,6900.0,11228764963.2353,11828638.0,0.017020934718340017,1.8897892495596831e-06,0.0017939511982152552,2236.5189588149597
155,AGO,1991,1246700.0,0.0,71.8886392044557,25.4828610894249,54.2077817863457,54.5438591914703,492.615358422255,6670.0,15090.0,71.7546362339515,5960.0,26.1531145981931,21489.9997711182,-13.0982390598647,9.80884815914013,7000.0,10603784541.197,12228691.0,0.0172375068349388,2.026634895081744e-06,0.0017573426110053972,2190.8790331404284
156,AGO,1992,1246700.0,0.0,72.7232825172167,24.0980759316387,55.1670429687635,53.5918958920822,479.527381223695,6880.0,15150.0,70.5635770843037,6340.0,27.3404750815091,21950.0007629395,28.2507571498522,10.1327560760407,6900.0,8307810973.58848,12632507.0,0.017606481722097937,2.6420919821985797e-06,0.0017375807322283297,2166.241898869069
157,AGO,1993,1246700.0,0.0,71.2770563190797,24.9646618214416,54.5062952008299,52.1541584888179,481.173345850331,9270.0,15070.0,69.2237023426734,7030.0,28.6173633440514,22579.9999237061,-20.4425926261765,10.4582257158899,5600.0,5768720421.61367,13038270.0,0.018111815130910484,3.914212905708793e-06,0.0017318248451448006,2159.066034442033
158,AGO,1994,1246700.0,0.0,72.2202689083442,24.4396830159153,54.8220156630242,50.8095695218649,472.397961347734,11300.0,15100.0,68.0793507664563,7900.0,29.7114517583408,23479.9995422363,-10.1847989699135,10.7981318681319,7600.0,4438321017.39068,13462031.0,0.018833720656321728,5.290288703821688e-06,0.001744164720927793,2174.450157580673
159,AGO,1995,1246700.0,0.0,73.9458883392515,22.7801963282831,56.0600388048704,49.3809306084356,456.745359648074,12720.0,15010.0,66.8299198575245,9720.0,30.9439002671416,25229.9995422363,-2.88306341923433,11.1592628539344,7300.0,5538749259.94714,13912253.0,0.020237426439589555,4.555179943725614e-06,0.0018135092527598728,2260.9019854157305
160,AGO,1996,1246700.0,0.0,73.1396004507038,23.498096951988,55.6764388631966,51.1702767435959,454.603482498861,15440.0,13680.0,64.0449438202247,11190.0,33.5205992509363,25389.9993896484,-5.22977457790029,11.5371380444373,7700.0,7526446605.51712,14383350.0,0.02036576513166632,3.3734377881637717e-06,0.0017652354555544015,2200.719042439675
161,AGO,1997,1246700.0,0.0,73.7344159506134,23.8744737221415,55.5576693065937,69.3288869600231,449.267258891816,16160.0,13560.0,63.1578947368421,11600.0,34.3735444806707,25690.0005340576,-31.6706262127999,11.928407796583,7300.0,7648377412.83277,14871146.0,0.020606401326748697,3.3588824331490014e-06,0.0017275064432867243,2153.6822828455556
162,AGO,1998,1246700.0,0.0,76.8197936265394,22.1248654389638,56.7887186908318,73.2745471034298,433.677424359323,16770.0,14980.0,64.7643752702118,12350.0,32.8145265888457,27889.9993896484,-27.0642534593134,12.3260319242801,7400.0,6506229607.29432,15366864.0,0.022371059107763217,4.2866607963512574e-06,0.0018149441154453115,2262.6908287256697
163,AGO,1999,1246700.0,0.0,73.4107838285377,24.7144129205662,55.1519819128302,71.8932491734954,441.055254278105,17610.0,13950.0,62.4720107478728,12570.0,34.9753694581281,27090.0001525879,-27.041584302062,12.7302101548087,5100.0,6152922942.98032,15870753.0,0.021729365647379404,4.402785538456003e-06,0.0017069133488869684,2128.0088720573826
164,AGO,2000,1246700.0,0.0,73.44,25.2200519176355,54.8553976330398,75.27115610518,438.58776427709,16200.0,14390.0,62.5652173913044,12100.0,34.8695652173913,27079.9999237061,-28.5545238570211,13.1499655089436,4399.0,9129594818.60749,16394062.0,0.021721344287884893,2.966177630195918e-06,0.0016518175863740236,2059.320984932497
